 20 21   20.5  4.68E+01  1.7  5.3  4.63E+01  1.3  4.6  4.47E+01  1.2  4.5  4.51E+01  1.3  4.6  4.58E+01  0.7  4.6  
 21 22   21.5  3.52E+01  1.3  5.4  3.65E+01  1.2  4.8  3.52E+01  1.2  4.6  3.42E+01  1.3  4.8  3.53E+01  0.6  4.8  
 22 23   22.5  2.72E+01  1.4  5.2  2.80E+01  1.3  4.5  2.75E+01  1.3  4.4  2.69E+01  1.3  4.6  2.74E+01  0.7  4.6  
 23 24   23.5  2.14E+01  1.5  5.0  2.25E+01  1.4  4.5  2.18E+01  1.4  4.3  2.12E+01  1.5  4.4  2.18E+01  0.7  4.5  
 24 25   24.5  1.80E+01  1.6  5.0  1.81E+01  1.5  4.5  1.76E+01  1.5  4.3  1.66E+01  1.6  4.5  1.76E+01  0.8  4.5  
 25 26   25.5  1.46E+01  1.8  5.0  1.50E+01  1.7  4.5  1.38E+01  1.7  4.3  1.39E+01  1.8  4.5  1.43E+01  0.9  4.5  
 26 27   26.5  1.21E+01  1.9  5.1  1.22E+01  1.8  4.4  1.13E+01  1.9  4.3  1.11E+01  1.9  4.5  1.17E+01  0.9  4.5  
 27 28   27.5  1.00E+01  2.1  5.0  1.00E+01  2.0  4.4  9.76E+00  2.0  4.3  9.17E+00  2.1  4.5  9.75E+00  1.0  4.5  
 28 29   28.5  8.14E+00  2.3  5.1  8.31E+00  2.2  4.5  7.88E+00  2.2  4.3  7.67E+00  2.3  4.5  7.99E+00  1.1  4.5  
 29 30   29.5  6.68E+00  2.5  5.2  6.92E+00  2.4  4.5  6.78E+00  2.4  4.4  6.39E+00  2.5  4.6  6.70E+00  1.2  4.5  
 30 32   31.0  5.47E+00  1.9  5.2  5.44E+00  1.9  4.5  5.03E+00  1.9  4.3  4.91E+00  2.0  4.6  5.20E+00  1.0  4.6  
 32 34   33.0  3.84E+00  2.3  5.4  3.84E+00  2.2  4.6  3.72E+00  2.2  4.4  3.50E+00  2.3  4.8  3.72E+00  1.1  4.7  
 34 36   35.0  2.78E+00  2.7  5.7  2.84E+00  2.5  4.9  2.76E+00  2.5  4.9  2.62E+00  2.7  5.1  2.75E+00  1.3  5.0  
 36 38   37.0  2.12E+00  3.1  6.2  2.03E+00  2.9  5.4  2.02E+00  3.0  5.3  1.85E+00  3.1  5.6  2.00E+00  1.5  5.5  
 38 42   39.8  1.45E+00  2.6  6.4  1.40E+00  2.5  5.7  1.39E+00  2.5  5.6  1.33E+00  2.6  5.9  1.39E+00  1.3  5.8  
 42 46   43.8  8.33E-01  3.3  6.9  8.33E-01  3.2  6.1  7.74E-01  3.3  5.9  7.47E-01  3.4  6.5  7.96E-01  1.7  6.2  
 46 50   47.8  5.34E-01  4.2  7.0  5.48E-01  4.0  6.1  4.96E-01  4.2  6.1  4.54E-01  4.5  6.7  5.08E-01  2.1  6.3  
 50 60   54.2  2.79E-01  3.7  7.8  2.74E-01  3.5  7.1  2.49E-01  3.7  7.1  2.14E-01  4.1  7.7  2.54E-01  1.9  7.2  
 60 75   66.0  8.96E-02  5.4  8.0  9.05E-02  5.0  6.9  8.23E-02  5.6  6.9  6.64E-02  6.2  8.2  8.28E-02  2.7  7.3  
 75 95   82.7  2.54E-02  9.0  7.7  2.62E-02  8.5  6.4  2.37E-02  8.7  6.4  2.03E-02  9.6  7.6  2.39E-02  4.4  6.3  
 95 120   104.7  8.37E-03  15  8.3  8.56E-03  15  8.2  7.16E-03  15   7.3  5.61E-03  19   9.1  7.42E-03  7.7  7.9  
120 150   131.1  0         0   0    0         0   0    0         0    0    0         0    0    1.53E-03  17  7.9  
